Northing,Easting,Depth (ft),Formation,Pore pressure,Fracture pressure,Mud pressure (psi),Hole size (in),METERAGE,DRLTIME,WOB,Pump flow rate,Pump pressure,MFVIS,RETSOLID,FAN600,FAN300,MIN10GEL,RPM,MUDLOSSU
1910415,1017902,17,1,7.361,11.56,7.7418,26,17,10,4,300,200,70,4,48,42,18,70,0
1933305,1007091,21,1,9.093,14.28,9.5634,26,21,20,2.5,400,155,70,6,56,47,26,65,0
1898014,1035395,23,1,9.959,15.64,10.3155,26,23,9,5,700,750,100,0,,,,85,0
1927084,1012494,28,1,12.124,19.04,12.7512,26,28,5,6,450,525,56,0.3,56,50,22,75,0
1899352,1035235,40,1,17.32,27.2,18.216,26,40,7,7.5,450,800,77,3,52,45,20,120,0
1908883,1022901,46,1,19.918,31.28,21.1071,26,46,12,10,850,1500,75,3,52,45,20,110,
1927084,1012494,50,1,21.65,34,23.115,26,22,11,10,450,525,54,4,58,50,22,85,0
1933305,1007091,56,1,24.248,38.08,25.6956,26,35,23,11.5,650,350,65,7,58,49,27,105,0
1910415,1017902,60,1,25.98,40.8,27.324,26,43,19,12.5,350,300,67,4,41,35,16,130,0
1911340,1016947,60,1,25.98,40.8,26.91,26,48,18,22.5,900,1700,78,5,33,21,12,135,0
1901265,1032792,62,1,26.846,42.16,27.807,26,62,13.5,10,600,400,70,3,39,33,14,90,0
1893525,1037863,68,1,29.444,46.24,30.498,26,56,11,11.5,850,750,100,3,42,36,16,375.5,0
1910415,1017902,70,1,30.31,47.6,31.878,17.5,10,1,17.5,600,1100,50,4,30,25,14,135,0
1915773,1015021,72,1,31.176,48.96,33.2856,26,22,11,10,600,525,70,6,97,71,42,85,0
1920957,1012336,85,1,36.805,57.8,38.709,26,85,17,22.5,700,375,80,0,83,78,49,75,100
1893525,1037863,100,1,43.3,68,44.85,26,32,10,15,850,1300,100,3,44,38,16,150,0
1915773,1015021,112,1,48.496,76.16,52.5504,26,40,8,17.5,850,1500,45,4,74,56,37,115,0
1911541,1023947,115,1,49.795,78.2,51.5775,26,115,24,12.5,850,2100,58,3,43,28,4,150,0
1936056,1006641,120,1,51.96,81.6,54.648,26,60,5,2.5,850,1275,35,5,35,20,7,145,0
1934676,1008730,120,1,51.96,81.6,53.82,26,95,14,20,800,800,95,5,74,66,44,100,0
1927084,1012494,123,1,53.259,83.64,57.7116,26,73,12,20,800,1750,56,4,54,48,22,150,0
1933305,1007091,130,1,56.29,88.4,59.6505,26,74,24,17.5,700,665,65,7,54,47,28,115,0
1901163,1028822,132,1,57.156,89.76,58.2912,17.5,61,3,10,850,2200,50,3,22,17,4,140,0
1920957,1012336,134,1,58.022,91.12,62.8728,26,49,16,9,800,1040,40,6,38,33,13,115,20
1901265,1032792,149,1,64.517,101.32,66.8265,26,87,15.5,10,900,1525,70,3,40,34,14,140,0
1933305,1007091,150,1,64.95,102,68.8275,26,20,9,17.5,700,665,65,7,52,45,26,85,0
1900266,1034376,150,1,64.95,102,67.275,26,80,10.5,27.5,800,1200,100,4,39,33,18,130,0
1898058,1036646,153,1,66.249,104.04,69.6762,26,153,14,15,680,740,70,0,34,26,10,155,0
1899352,1035235,155,1,67.115,105.4,70.587,26,115,12,17.5,900,1750,70,6,50,42,19,165,0
1914180,1020592,156,1,67.548,106.08,69.966,26,156,24,10,800,1390,78,4,33,21,12,140,0
1911541,1023947,157,1,67.981,106.76,70.4145,26,42,5,12.5,850,2100,60,3,43,28,4,150,0
1913770,1018319,172,1,74.476,116.96,78.3288,17.5,110,7,30,800,1625,60,4,42,38,19,145,0
